from_id,Bideford Community Hospital,NHS Nightingale Exeter,"Colin Campbell Court, Plymouth",Torbay & South Devon Community Diagnostic Centre,Tiverton - Lowman Way,Okehampton - Exeter Road Industrial Estate,Crediton - Lords Meadow,South Molton - Pathfields,Newton Abbott - Market Walk,Bovey Tracey - Blue Waters,Honiton - Devonshire Road,Exmouth - The Strand,Barnstaple - Archwood Retail Park,Ilfracombe - Wilder Road,Kingsbridge - Fore Street,Tavistock - Drake Road,Holsworthy - Underlane,Paignton - Hyde Road
East Devon 008E,71.25,13.066667,54.933334,36.8,29.516666,36.566666,33.216667,48.483334,30.016666,27.016666,8.666667,21.416666,60.583332,77.166664,54.966667,54.65,64.05,37.066666
East Devon 009B,70.23333,20.766666,62.633335,44.5,30.316668,44.283333,40.916668,49.283333,37.716667,34.716667,9.15,30.0,61.383335,77.98333,62.666668,62.366665,71.75,44.783333
East Devon 010A,80.65,28.3,67.916664,50.033333,40.733334,49.566666,48.0,59.7,43.016666,40.016666,17.683332,29.483334,71.8,88.4,67.96667,67.65,77.05,50.066666
East Devon 010B,81.98333,29.633333,69.25,51.366665,42.066666,50.9,49.316666,61.033333,44.333332,41.333332,19.0,30.816668,73.13333,89.73333,69.28333,68.98333,78.38333,51.4
East Devon 013A,68.85,12.883333,52.516666,34.383335,28.9,34.166668,32.583332,47.85,27.6,24.6,15.833333,14.083333,59.966667,76.55,52.55,52.25,61.65,34.666668
East Devon 013B,73.6,17.65,57.283333,39.15,33.65,38.916668,37.35,52.616665,32.366665,29.366667,20.583334,14.583333,64.71667,81.316666,57.316666,57.0,66.4,39.416668
East Devon 014A,60.75,4.8,44.416668,26.3,20.8,26.066668,24.5,39.766666,19.516666,16.516666,15.75,12.9,51.866665,68.46667,44.466667,44.15,53.55,26.566668
East Devon 015A,71.65,15.7,55.333332,37.2,31.7,36.983334,35.4,50.666668,30.416666,27.416666,21.9,4.883333,62.783333,79.36667,55.366665,55.066666,64.45,37.483334
East Devon 015B,69.4,13.45,53.083332,34.95,29.45,34.733334,33.15,48.416668,28.166666,25.166666,19.05,5.5666666,60.533333,77.11667,53.116665,52.816666,62.2,35.216667
East Devon 015C,70.53333,14.583333,54.216667,36.083332,30.583334,35.866665,34.283333,49.55,29.3,26.3,20.133333,4.7833333,61.65,78.25,54.25,53.95,63.333332,36.366665
East Devon 015D,70.78333,14.833333,54.466667,36.333332,30.833334,36.1,34.516666,49.8,29.55,26.55,20.433332,5.4333334,61.9,78.5,54.5,54.2,63.583332,36.616665
East Devon 016A,70.333336,14.383333,54.0,35.883335,30.383333,35.65,34.066666,49.35,29.1,26.1,20.283333,5.6833334,61.45,78.03333,54.05,53.733334,63.133335,36.15
